-100, 0
-99, 0
-98, 0
-97, 0
-96, 0
-95, 0
-94, 0
-93, 0
-92, 0
-91, 0
-90, 0
-89, 0
-88, 0
-87, 0
-86, 0
-85, 0
-84, 0
-83, 0
-82, 0
-81, 0
-80, 0
-79, 0
-78, 0
-77, 1
-76, 1
-75, 0
-74, 3
-73, 6
-72, 9
-71, 10
-70, 19
-69, 19
-68, 30
-67, 52
-66, 55
-65, 86
-64, 125
-63, 131
-62, 186
-61, 234
-60, 259
-59, 357
-58, 447
-57, 576
-56, 706
-55, 813
-54, 1037
-53, 1190
-52, 1518
-51, 1828
-50, 2201
-49, 2740
-48, 3232
-47, 3914
-46, 4630
-45, 5716
-44, 6655
-43, 8222
-42, 9648
-41, 11653
-40, 13689
-39, 16922
-38, 19618
-37, 23939
-36, 28161
-35, 33167
-34, 39207
-33, 45547
-32, 53805
-31, 61899
-30, 72267
-29, 83589
-28, 95936
-27, 109560
-26, 126092
-25, 142368
-24, 161801
-23, 181318
-22, 203072
-21, 226426
-20, 250123
-19, 276409
-18, 302595
-17, 330675
-16, 358865
-15, 389461
-14, 417837
-13, 450023
-12, 476655
-11, 507785
-10, 534789
-9, 559959
-8, 585267
-7, 607496
-6, 627591
-5, 645413
-4, 660848
-3, 672945
-2, 682903
-1, 685997
0, 688634
1, 685997
2, 682903
3, 672945
4, 660848
5, 645413
6, 627591
7, 607496
8, 585267
9, 559959
10, 534789
11, 507785
12, 476655
13, 450023
14, 417837
15, 389461
16, 358865
17, 330675
18, 302595
19, 276409
20, 250123
21, 226426
22, 203072
23, 181318
24, 161801
25, 142368
26, 126092
27, 109560
28, 95936
29, 83589
30, 72267
31, 61899
32, 53805
33, 45547
34, 39207
35, 33167
36, 28161
37, 23939
38, 19618
39, 16922
40, 13689
41, 11653
42, 9648
43, 8222
44, 6655
45, 5716
46, 4630
47, 3914
48, 3232
49, 2740
50, 2201
51, 1828
52, 1518
53, 1190
54, 1037
55, 813
56, 706
57, 576
58, 447
59, 357
60, 259
61, 234
62, 186
63, 131
64, 125
65, 86
66, 55
67, 52
68, 30
69, 19
70, 19
71, 10
72, 9
73, 6
74, 3
75, 0
76, 1
77, 1
78, 0
79, 0
80, 0
81, 0
82, 0
83, 0
84, 0
85, 0
86, 0
87, 0
88, 0
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
