吽,21565,7
吾,21566,7
呂,21570,7
呉,21577,7
告,21578,7
呑,21585,7
周,21608,8
味,21619,8
呵,21621,8
呻,21627,8
呼,21628,8
命,21629,8
咀,21632,8
咄,21636,8
咆,21638,8
和,21644,8
咎,21646,8
咤,21668,9
咨,21672,9
咫,21675,9
咬,21676,9
咳,21683,9
咽,21693,9
哀,21696,9
品,21697,9
員,21729,10
哢,21730,10
哭,21741,10
哮,21742,10
哲,21746,10
哳,21747,10
哺,21754,10
唆,21766,10
唇,21767,10
唐,21776,10
唖,21782,10
唯,21807,11
唱,21809,11
唳,21811,11
唾,21822,11
啄,21828,11
商,21830,11
問,21839,11
啐,21840,11
啓,21843,11
啞,21854,11
啾,21886,12
喃,21891,12
善,21892,12
喉,21897,12
喋,21899,12
喘,21912,12
喙,21913,12
喚,21914,12
喜,21916,12
喝,21917,12
喧,21927,12
喩,21929,12
喪,21930,12
喬,21932,12
営,21942,12
嗇,21959,13
嗟,21983,13
嘆,22022,14
嘉,22025,14
嘔,22036,14
嘖,22038,14
嘗,22039,14
嘯,22063,16
嘲,22066,15
嘴,22068,15
噌,22092,15
噛,22107,15
器,22120,12
噪,22122,16
噬,22124,16
噴,22132,15
嚆,22150,17
嚇,22151,17
嚢,22178,18
嚮,22190,19
嚼,22204,20
囂,22210,21
囚,22234,5
四,22235,5
回,22238,6
因,22240,6
団,22243,6
困,22256,7
囲,22258,7
図,22259,7
囹,22265,8
固,22266,8
国,22269,8
圃,22275,10
圄,22276,10
園,22290,13
土,22303,3
圧,22311,5
在,22312,6
地,22320,6
均,22343,7
坊,22346,7
坎,22350,7
坐,22352,7
坑,22353,7
坤,22372,8
坦,22374,8
垂,22402,8
垠,22432,9
垢,22434,9
埋,22475,10
城,22478,10
埒,22482,10
域,22495,11
埴,22516,11
執,22519,11
堂,22530,11
堅,22533,10
堆,22534,11
堊,22538,11
堕,22549,12
堤,22564,12
報,22577,13
場,22580,12
堵,22581,12
塁,22593,12
塊,22602,12
塔,22612,13
塗,22615,13
塞,22622,13
塩,22633,13
填,22635,13
塵,22645,14
塹,22649,14
境,22659,14
墓,22675,14
増,22679,14
墜,22684,15
墨,22696,15
墳,22707,16
壁,22721,16
壇,22727,16
壊,22730,16
壌,22732,16
壑,22737,17
士,22763,3
壮,22766,6
声,22768,7
売,22770,7
壺,22778,12
変,22793,9
夏,22799,9
夕,22805,3
外,22806,5
夙,22809,6
多,22810,6
夜,22812,8
夢,22818,13
大,22823,3
天,22825,4
太,22826,4
夫,22827,4
失,22833,5
夷,22839,6
奄,22852,8
奇,22855,8
奈,22856,8
奉,22857,8
奏,22863,9
奐,22864,9
契,22865,9
奔,22868,9
套,22871,10
奢,22882,11
奥,22885,13
奪,22890,14
奮,22894,16
女,22899,3
奸,22904,6
好,22909,6
如,22914,6
妄,22916,6
妍,22925,7
妖,22934,7
妙,22937,7
妥,22949,7
妬,22956,8
妻,22971,8
始,22987,8
姑,22993,8
姓,22995,8
委,22996,8
姿,23039,9
威,23041,9
娩,23081,11
婆,23110,11
婉,23113,11
婦,23142,11
婬,23148,11
婾,23166,12
媒,23186,12
媚,23194,12
嫁,23233,13
嫉,23241,13
嫋,23243,13
嫌,23244,13
嫖,23254,14
嫗,23255,14
嫡,23265,14
嫣,23267,14
嬉,23305,15
嬰,23344,17
子,23376,3
孔,23380,4
孕,23381,5
字,23383,6
存,23384,6
孜,23388,7
孝,23389,7
孟,23391,8
季,23395,8
孤,23396,9
学,23398,8
孫,23403,10
宅,23429,7
宇,23431,6
守,23432,6
安,23433,6
宋,23435,7
完,23436,7
宏,23439,7
宕,23445,8
宗,23447,8
官,23448,8
定,23450,8
宛,23451,8
宜,23452,8
宝,23453,8
実,23455,8
客,23458,9
宣,23459,9
室,23460,9
宥,23461,9
宮,23470,10
宰,23472,10
害,23475,10
宴,23476,10
宵,23477,10
家,23478,10
容,23481,10
宿,23487,11
寂,23490,11
寄,23492,11
密,23494,11
寇,23495,11
富,23500,12
寐,23504,11
寒,23506,12
寛,23515,14
寝,23517,13
察,23519,14
寡,23521,14
寤,23524,13
寧,23527,14
審,23529,15
寵,23541,19
寸,23544,3
寺,23546,6
対,23550,7
寿,23551,7
封,23553,9
専,23554,9
射,23556,10
将,23558,9
尊,23562,12
尋,23563,12
小,23567,3
少,23569,4
尚,23578,8
尤,23588,4
尨,23592,7
尩,23593,8
尭,23597,8
就,23601,12
尸,23608,3
尹,23609,4
尺,23610,4
尽,23613,6
尾,23614,7
尿,23615,7
局,23616,7
居,23621,8
屈,23624,8
屋,23627,9
屍,23629,9
屎,23630,9
屏,23631,9
屑,23633,10
屓,23635,10
属,23646,12
屠,23648,12
層,23652,15
履,23653,15
屨,23656,17
山,23665,3
屹,23673,6
岐,23696,7
岡,23713,8
岳,23731,8
岸,23736,8
峡,23777,9
峭,23789,10
